gene_id,nickname,accession,source,substrate,timepoint_hours,average_intensity,stddev_intensity,sample_count
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET12.5,72,0.019308823233586736,0.0225936023499982,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET12.5,96,0.017784313939046115,0.022308167061589074,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET12.5,120,0.02701470541069284,0.025965390342389403,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET25,8,0.008107843052130193,0.003807688229860972,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET25,24,-0.012818627204978839,0.008855911487118654,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET25,48,-0.007705882195295999,0.00741986743689465,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET25,72,0.004507353121880442,0.02008147986678,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET25,96,0.016414215846452862,0.02803708721789586,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET25,120,0.023529411846539006,0.030580240924242212,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET12.5,8,-0.004980392172001302,0.013386038459277423,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET12.5,24,-0.0050735274626276805,0.00485492226362357,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET12.5,48,0.00004901993088424206,0.018745071367219115,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET12.5,72,-0.00004901960892311763,0.004088586484538044,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET12.5,96,-0.006759800000509131,0.009776141630101308,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET12.5,120,0.005509803973836824,0.013579358181930819,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET25,8,0.010529411665629596,0.004318319409127369,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET25,24,-0.006754901871317998,0.011015904035677562,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET25,48,-0.013117647147737443,0.003164100820402102,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET25,72,-0.01640441207564436,0.014496136336865565,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET25,96,-0.02055882359854877,0.011517014199361339,8
AR00011,Easy-goingElevator,AR241010_74,GRASP_241010,BHET25,120,-0.023137255149777047,0.011253721179577573,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET12.5,8,-0.004970588372088969,0.013010285741095882,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET12.5,24,-0.003480390055301541,0.00415505400414743,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET12.5,48,0.005862744874320924,0.019988583853417917,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET12.5,72,0.013799021681734303,0.013103108608517192,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET12.5,96,0.012343137568677776,0.024558753120567944,8
