gene_id,nickname,accession,source,substrate,activity,peak_value,peak_timepoint_hours,min_value,min_timepoint_hours,flag,timepoint_count
LG00031,ImmenseDesigner,ERR3588746_23368,Logan 1.0,BHET12.5,0.009318627286120318,0.0036274508893257007,8,-0.005691176396794617,96,peak_at_start,6
LG00031,ImmenseDesigner,ERR3588746_23368,Logan 1.0,BHET25,0.03380882373312488,0.013196078594774008,8,-0.020612745138350874,120,peak_at_start,6
LG00032,DeepKnowledge,ERR3697023_14244245,Logan 1.0,BHET12.5,0.0027352933393558487,0.05685784276283812,96,0.05412254942348227,120,single_degradation_point,6
LG00032,DeepKnowledge,ERR3697023_14244245,Logan 1.0,BHET25,,0.05817524588201195,120,,,peak_at_end,6
LG00033,PersonalEntrance,ERR3943994_542949,Logan 1.0,BHET12.5,,0.014044117589946836,120,,,peak_at_end,6
LG00033,PersonalEntrance,ERR3943994_542949,Logan 1.0,BHET25,0.019482842995785177,0.03188480366952717,8,0.012401960673741996,48,peak_at_start,6
LG00034,AuthenticBoat,ERR4592245_1642075,Logan 1.0,BHET12.5,0.01993137228419073,-0.0032843136286828667,8,-0.023215685912873596,96,peak_at_start,6
LG00034,AuthenticBoat,ERR4592245_1642075,Logan 1.0,BHET25,0.04711274539295118,0.00813480389479082,8,-0.03897794149816036,120,peak_at_start,6
LG00035,BuzzingMirror,ERR4674853_86664,Logan 1.0,BHET12.5,0.02055392146576196,-0.005147058865986764,48,-0.025700980331748724,96,,6
LG00035,BuzzingMirror,ERR4674853_86664,Logan 1.0,BHET25,0.04749509852263145,0.009147058910457417,8,-0.038348039612174034,120,peak_at_start,6
LG00036,StripedKnowledge,ERR4801149_9489,Logan 1.0,BHET12.5,0.02025245082040783,-0.008258578382083215,8,-0.028511029202491045,72,peak_at_start,6
LG00036,StripedKnowledge,ERR4801149_9489,Logan 1.0,BHET25,0.06589583421009593,0.007053921610349789,8,-0.05884191259974614,72,peak_at_start,6
LG00037,HonorableFarm,ERR4856268_964317,Logan 1.0,BHET12.5,0.01411274482961744,-0.0019411765970289707,48,-0.01605392142664641,120,,6
LG00037,HonorableFarm,ERR4856268_964317,Logan 1.0,BHET25,0.03802450932562351,0.01290196052286774,8,-0.025122548802755773,120,peak_at_start,6
LG00038,FirsthandFarmer,ERR5947503_322,Logan 1.0,BHET12.5,0.014477945211183396,0.000585784437134862,48,-0.013892160774048534,96,,6
LG00038,FirsthandFarmer,ERR5947503_322,Logan 1.0,BHET25,0.043605392100289464,0.01367401983588934,8,-0.029931372264400125,120,peak_at_start,6
LG00039,FoolhardyPollution,ERR6465722_199879,Logan 1.0,BHET12.5,0.014102940942393616,-0.0006960784085094929,48,-0.014799019350903109,96,,6
LG00039,FoolhardyPollution,ERR6465722_199879,Logan 1.0,BHET25,0.044350490265060216,0.01302205870160833,8,-0.031328431563451886,120,peak_at_start,6
LG00040,MeanGovernment,ERR7127473_220403,Logan 1.0,BHET12.5,0.011227941489778459,-0.000284313689917326,48,-0.011512255179695785,96,,6
LG00040,MeanGovernment,ERR7127473_220403,Logan 1.0,BHET25,0.03878921561408788,0.01231862767599523,8,-0.02647058793809265,120,peak_at_start,6
LG00041,SubtleNobody,ERR7163074_457660,Logan 1.0,BHET12.5,0.02106127404840663,-0.0001348039077129215,8,-0.021196077956119552,96,peak_at_start,6
LG00041,SubtleNobody,ERR7163074_457660,Logan 1.0,BHET25,0.046127450827043504,0.01236764685017988,8,-0.03375980397686362,120,peak_at_start,6
LG00042,JealousSpeed,ERR7672960_23882,Logan 1.0,BHET12.5,0.021811274682477233,-0.0038970587902440457,8,-0.02570833347272128,96,peak_at_start,6
LG00042,JealousSpeed,ERR7672960_23882,Logan 1.0,BHET25,0.048571078365057474,0.00782598022124148,8,-0.040745098143815994,120,peak_at_start,6
